Order,Family,CommonName,Genus,Species,SubSpecies,SpecificLocation,Sex,M,Mref,K,Linf,GrowthRef,tmax,tmaxRef,Temp
Cypriniformes,Cyprinidae,common carp,Cyprinus,carpio,na,"mid-Murray River and Barmah Forest Wetlands, Australia",c,0.303,"Brown et al., 2005",0.236,515,"Brown et al., 2005",27,"Brown et al., 2005",17.1
Pleuronectiformes,Pleuronectidae,Pacific halibut,Hippoglossus,stenolepis,na,North Pacific and the Bering Sea,c,0.198,"Chen & Xiao, 2006",0.079,1345,"Martell et al., 2013",55,"Forsberg, 2001",5
Scorpaeniformes,Scorpaenidae,yellowtail rockfish,Sebastes,flavidus,na,"Queen Charlotte Sound, Canada",c,0.07,"Leaman & Nagtegaal, 1987",0.186,486,"Archibald et al., 1981",53,"Leaman & Nagtegaal, 1987",8.5
Beloniformes,Scomberesocidae,Pacific saury,Cololabis,saira,na,northeastern Pacific Ocean,c,1.6,"Hughes, 1974",0.42,342.36,"Hughes, 1974",6,"Hughes, 1974",12
Scorpaeniformes,Scorpaenidae,splitnose rockfish,Sebastes,diploproa,na,northeastern Pacific Ocean,c,0.04,"Wilson & Boehlert, 1990",0.13,319.8,"Wilson & Boehlert, 1990",84,"Wilson & Boehlert, 1990",5.4
Scorpaeniformes,Scorpaenidae,greenstriped rockfish,Sebastes,elongatus,na,northeastern Pacific Ocean,c,0.15,"Shaw & Gunderson, 2006",0.094,338,"Shaw & Gunderson, 2006",46,"Shaw & Gunderson, 2006",13.5
Perciformes,Scombridae,narrow-barred Spanish mackerel,Scomberomorus,commerson,na,"northeastern Queensland waters, Australia",c,0.62,"*McPherson, 1992",0.21,1412.5,"McPherson, 1992",14,"McPherson, 1992",25
Perciformes,Centrarchidae,rock bass,Ambloplites,rupestris,na,"Nebish Lake, Wisconsin",c,1.2,"Ricker, 1949",0.229,194.4,"*Hile, 1941",13,"Ricker, 1949",12
Perciformes,Centrarchidae,black crappie,Pomoxis,nigromaculatus,na,Nebraska Sand Hills lakes,c,0.49,"Paukert et al., 2001",0.33,347,"*Paukert et al., 2001",11,"Paukert et al., 2001",12.5
Esociformes,Esocidae,muskellunge,Esox,masquinongy,na,"New River, Virginia",c,0.22,"Brenden et al., 2007",0.3716,1200,"Brenden et al., 2007",11,"Brenden et al., 2006",13.24
Perciformes,Carangidae,jack mackerel,Trachurus,declivis,na,"New South Wales to Tasmania, Australia",c,0.56,"*Stevens & Hausfeld, 1982",0.2,464,"Stevens & Hausfeld, 1982",16,"Stevens & Hausfeld, 1982",12
Perciformes,Ammodytidae,sand lance,Ammodytes,dubius,na,Newfoundland Grand Bank,c,0.885,"Winters, 1983",0.34,262,"Winters, 1981",10,"Winters, 1983",8
Perciformes,Malacanthidae,blueline tilefish,Caulolatilus,microps,na,North and South Carolina,c,0.22,"Ross & Huntsman, 1982",0.15,643,"Harris et al., 2004",43,"Harris et al., 2004",17.1
Perciformes,Apogonidae,black cardinalfish,Epigonus,telescopus,na,"east coast North Island, New Zealand",c,0.034,"Tracey et al., 2000",0.034,708,"Tracey et al., 2000",104,"Tracey et al., 2000",8
Perciformes,Ammodytidae,Shetland sandeel,Ammodytes,marinus,na,North Sea,c,1.28,"Cook, 2004",0.36,185,"ICES, 1995",8,"Bergstad & Hoines, 2001",7
Perciformes,Labridae,humphead wrasse,Cheilinus,undulatus,na,northern and central Great Barrier Reef,c,0.11,"Choat et al., 2006",,,,30,"Choat et al., 2006",26
Perciformes,Labridae,California sheephead,Semicossyphus,pulcher,na,"northern Channel Islands, southern California",c,0.2,"Hamilton et al., 2011",0.146,569.6,"Hamilton et al., 2011",29,"Hamilton et al., 2011",14
Perciformes,Scaridae,bridled parrotfish,Scarus,frenatus,na,northern Great Barrier Reef (mid shelf),c,0.24,"Gust et al., 2002",0.77,255.43,"Gust et al., 2002",20,"Gust et al., 2002",26
Perciformes,Scaridae,daisy parrotfish,Chlorurus,sordidus,na,northern Great Barrier Reef (outer shelf),c,0.49,"Gust et al., 2002",1.15,158.21,"Gust et al., 2002",9,"Gust et al., 2002",26
Perciformes,Lamnidae,porbeagle,Lamna,nasus,na,North West Atlantic,c,0.18,"Aasen, 1963",0.111,2800,"Aasen, 1963",25,"Aasen, 1963",7
Scorpaeniformes,Scorpaenidae,chilipepper,Sebastes,goodei,na,off California,c,0.41,"*Wilkins, 1980",0.24,459.25,"Wilkins, 1980",16,"Wilkins, 1980",14
Scorpaeniformes,Scorpaenidae,bocaccio,Sebastes,paucispinis,na,off California,c,0.434,"*Wilkins, 1980",0.12,821.7,"Wilkins, 1980",14,"Wilkins, 1980",18
Perciformes,Nototheniidae,Patagonian toothfish,Dissostichus,eleginoides,na,off Kerguelen,c,0.09,"Ashford et al., 2005",0.13,982,"Ashford et al., 2005",36,"Ashford et al., 2005",6
Myctophiformes,Myctophidae,lanternfish,Notoscopelus,elongatus,na,off the British Isles and coast of Norway,c,0.8,"Gjøsæter, 1981",0.89,119.1,"Gjøsæter, 1981",6,"Gjøsæter, 1981",6.5
Scorpaeniformes,Scorpaenidae,darkblotched rockfish,Sebastes,crameri,na,off the Oregon coast,c,0.014,"Nichol, 1990",0.2053,423,"Nichol, 1990",105,"Nichol, 1990",12.5
Perciformes,Lutjanidae,scarlet seaperch,Lutjanus,malabaricus,na,"off the Pilbara coast, Australia",c,0.115,"Newman, 2002c",0.225,622.8,"Newman, 2002c",31,"Newman, 2002c",26.9
Perciformes,Haemulidae,white grunt,Haemulon,plumieri,na,"Onslow Bay, North Carolina",c,0.43,"Rudershausen et al., 2008",0.08,591,"Potts & Manooch, 2001",13,"Potts & Manooch, 2001",27.5
Perciformes,Lutjanidae,vermillion snapper,Rhomboplites,aurorubens,na,"Onslow Bay, North Carolina",c,0.37,"Rudershausen et al., 2008",0.144,650,"Rudershausen et al., 2008",14,"SEDAR, 2003",18
Scorpaeniformes,Triglidae,grey gurnard,Eutrigla,gurnardus,na,"Pagassitikos Gulf, Greece",c,1.07,"*Papaconstantinou, 1982",0.22,264,"Papaconstantinou, 1982",8,"Papaconstantinou, 1982",14
Perciformes,Centrarchidae,bluegill,Lepomis,macrochirus,na,"Par Pond, South Carolina",c,0.87,"Belk & Hales, 1993",0.5094,274.1073,"*Belk & Hales, 1993",9,"Belk & Hales, 1993",30
Clupeiformes,Engraulidae,bay anchovy,Anchoa,mitchilli,na,"Patuxent River, Chesapeake Bay",c,2.36,"Newberger & Houde, 1995",0.23,129.3,"Newberger & Houde, 1995",3,"Newberger & Houde, 1995",15
Tetraodontiformes,Balistidae,queen triggerfish,Balistes,vetula,na,"Pedro Bank, Jamaica",c,2.6,"Aiken, 1983",0.57,450,"Aiken, 1983",,,28
Perciformes,Serranidae,coney,Cephalopholis,fulva,na,"Pedro Bank, Jamaica",c,0.55,"Thompson & Munro, 1978",0.63,340,"Thompson & Munro, 1978",,,27
Perciformes,Serranidae,estuary rockcod,Epinephelus,coioides,na,"Pilbara coast, Australia",c,0.29,"Pember et al., 2005",0.15,1082,"Pember et al., 2005",22,"Pember et al., 2005",26.9
Perciformes,Serranidae,Malabar grouper,Epinephelus,malabaricus,na,"Pilbara coast, Australia",c,0.17,"Pember et al., 2005",0.1,1278,"Pember et al., 2005",31,"Pember et al., 2005",26.9
Perciformes,Glaucosomatidae,pearl perch,Glaucosoma,buergeri,na,"Pilbara coast, Australia",c,0.14,"Newman, 2002a",0.139,512.7,"Newman, 2002a",26,"Newman, 2002a",26.9
Perciformes,Gobiidae,starry goby,Asterropteryx,semipunctatus,na,"Pioneer Bay, Orpheus Island",m,4.304,"Hernaman & Munday, 2005b",1.095,77.1,"Hernaman & Munday, 2005a",1.25,"Hernaman & Munday, 2005a",25.8
Perciformes,Gobiidae,Goldman's goby,Istigobius,goldmanni,na,"Pioneer Bay, Orpheus Island, Australia",f,5.07,"Hernaman & Munday, 2005b",1.46,64.8,"Hernaman & Munday, 2005a",0.88,"Hernaman & Munday, 2005a",25.8
Perciformes,Gobiidae,mural goby,Valenciennea,muralis,na,"Pioneer Bay, Orpheus Island, Australia",c,4.87,"Hernaman & Munday, 2005b",2.555,106.1,"Hernaman & Munday, 2005a",0.99,"Hernaman & Munday, 2005a",25.8
Perciformes,Gobiidae,Bynoe goby,Amblygobius,bynoensis,na,"Pioneer Bay, Orpheus Island, Australia",c,4.05,"Hernaman & Munday, 2005b",1.46,117.1,"Hernaman & Munday, 2005a",1.03,"Hernaman & Munday, 2005a",25.8
Perciformes,Gobiidae,whitebarred goby,Amblygobius,phalaena,na,"Pioneer Bay, Orpheus Island, Australia",c,3.82,"Hernaman & Munday, 2005b",1.825,114.4,"Hernaman & Munday, 2005a",1.13,"Hernaman & Munday, 2005a",25.8
Scorpaeniformes,Cottidae,rough sculpin,Cottus,asperrimus,na,"Pit River System, California",c,0.97,"Daniels, 1987",0.18,92.4,"Daniels, 1987",5,"Daniels, 1987",9.3
Perciformes,Callionymidae,dragonet,Callionymus,lyra,na,"Plymouth, English Channel",f,1.146,"*Chang, 1951",0.55,174,"*Chang, 1951",6,"Chang, 1951",12
Gadiformes,Gadidae,poor cod,Trisopterus,minutus,na,"Plymouth, English Channel",f,1.17,"*Menon, 1950",0.443,230,"*Menon, 1950",5,"Menon, 1950",12
Acipenseriformes,Polyodontidae,paddlefish,Polyodon,spathula,na,"Pontchartrain, Louisiana",c,0.3,"Reed et al., 1992",0.276,1205,"Reed et al., 1992",14,"Reed et al., 1992",20
Myliobatiformes,Urolophidae,white spotted stingaree,Urolophus,paucimaculatus,na,"Port Phillip Bay, Australia",c,0.445,"Edwards, 1980",0.33,500.5,"Edwards, 1980",10,"Edwards, 1980",16.5
Siluriformes,Ictaluridae,channel catfish,Ictalurus,punctatus,na,"Powder River System, Wyoming-Montana",c,0.26,"Gerhardt & Hubert, 1991",0.129,765.43,"*Gerhardt & Hubert, 1991",21,"Gerhardt & Hubert, 1991",6.94
Pleuronectiformes,Pleuronectidae,English sole,Parophrys,vetulus,na,"Puget Sound, Washington",c,0.39,"Van Cleve & El-Sayed, 1969",0.31,372.2,"Van Cleve & El-Sayed, 1969",16,van Cleve & El-Sayed 1969,11.2
Zeiformes,Oreosomatidae,black oreo,Allocyttus,niger,na,"Puysegur Bank & west Snares areas, south of New Zealand",c,0.044,"McMillan et al., 1997",0.0495,385.5,"McMillan et al., 1997",142,"McMillan et al., 1997",11
Perciformes,Percidae,walleye,Sander,vitreus,na,"Pymatuning Sanctuary, Pennsylvania",c,0.44425,"Kocovsky & Carline, 2001",0.39725,594.25,"Kocovsky & Carline, 2001",16,"Kocovsky & Carline, 2001",13
Pleuronectiformes,Pleuronectidae,petrale sole,Eopsetta,jordani,na,"Queen Charlotte sound, British Columbia",c,0.23,"Ketchen & Forrester, 1966",0.17,538,"Ketchen & Forrester, 1966",35,"Munk, 2001",9
Gasterosteiformes,Syngnathidae,long-snouted seahorse,Hippocampus,guttulatus,na,"Ria Formosa coastal lagoon, Portugal",c,1.22,"Curtis & Vincent, 2006",0.571,197.6,"Curtis & Vincent, 2006",5.5,"Curtis & Vincent, 2006",18.2
Gadiformes,Lotidae,burbot,Lota,lota,na,"Ring Lake, Wind river watershed, Wyoming",c,0.26,"Hubert et al., 2008",,,,18,"Krueger & Hubert, 1997 ",9.1
Gadiformes,Macrouridae,roundnose grenadier,Coryphaenoides,rupestris,na,Rockall Trough and neighbouring areas,c,0.11,"Lorance et al., 2001",0.029,324,"Lorance et al., 2003",60,"Lorance et al., 2001",9
Perciformes,Sparidae,two banded bream,Diplodus,vulgaris,na,south coast of Portugal,c,0.625,"Gonçalves et al., 2003",0.4,277.3,"Gonçalves et al., 2003",14,"Gonçalves et al., 2003",15.1
Perciformes,Acanthuridae,ocean surgeonfish,Acanthurus,bahianus,na,"South Atlantic (Ascension, St. Helena, and Cabo Frio)",c,0.083,"Robertson et al., 2005",1.35,182.2,"Robertson et al., 2005",31,"Robertson et al., 2005",24.3
Perciformes,Malacanthidae,golden tilefish,Lopholatilus,chamaeleonticeps,na,"South Atlantic Bight, off Georgia",c,0.259,"Harris & Grossman, 1985",0.084,907,"Harris & Grossman, 1985",33,"Harris & Grossman, 1985",18
Perciformes,Scombridae,southern bluefin tuna,Thunnus,maccoyii,na,south Australia,c,0.22,"Hampton, 1991",0.185,1832,"Gunn et al., 2008",41,"Gunn et al., 2008",17
Perciformes,Lutjanidae,yellowtail snapper,Ocyurus,chrysurus,na,south Florida,c,0.56,"*Johnson, 1983",0.28,450.9,"Johnson, 1983",14,"Johnson, 1983",25.7
Perciformes,Lethrinidae,red throat emperor,Lethrinus,miniatus,na,southern Great Barrier Reef,c,0.368,"*Brown & Sumpton, 1998",0.229,520.6,"Brown & Sumpton, 1998",25,"Brown & Sumpton, 1998",24.8
Scorpaeniformes,Scorpaenidae,Puget Sound rockfish,Sebastes,emphaeus,na,"San Juan Islands, Washington",c,0.44,"Beckmann et al., 1998",0.62,154.06,"Beckmann et al., 1998",13,"Beckmann et al., 1998",10
Scorpaeniformes,Scorpaenidae,dark rockfish,Sebastes,ciliatus,na,"Sanak Island, Gulf of Alaska",f,0.073,"Chilton, 2005 ",0.195,435,"Chilton, 2005 ",61,"Chilton, 2005 ",7
Pleuronectiformes,Pleuronectidae,Atlantic halibut,Hippoglossus,hippoglossus,na,Scotian Shelf and southern Grand Banks,c,0.22,"den Heyer et al., 2013",0.14,1696.5,"Armsworthy & Campana, 2010",,,5
Scorpaeniformes,Scorpaenidae,rougheye rockfish,Sebastes,aleutianus,na,southeast Alaska,c,0.037,"Nelson & Quinn, 1987",0.0503,547.4,"Nelson & Quinn, 1987",205,"Munk, 2001",10
Scorpaeniformes,Scorpaenidae,shortspine thornyhead rockfish,Sebastolobus,alascanus,na,southeast Alaska,c,0.07,"Miller, 1985",0.012,700,"Gaichas & Ianelli, 2003",89,"Bechtol, 2000",4.5
Carcharhiniformes,Triakidae,school shark,Galeorhinus,galeus,na,southeast Australia,c,0.1006,"Grant et al., 1979",0.164,1600,"Grant et al., 1979",40,"Grant et al., 1979",17
Perciformes,Carangidae,greater amberjack,Seriola,dumerili,na,southeastern coast of USA,c,0.61,"Manooch & Potts, 1997",0.119,1648,"Manooch & Potts, 1997",17,"Manooch & Potts, 1997",26
Perciformes,Lutjanidae,Pacific red snapper,Lutjanus,peru,na,southeastern coast of Gulf of California,c,0.345,"Rocha-Olivares, 1998",0.1111,973.2,"Rocha-Olivares, 1998",31,"Rocha-Olivares, 1998",14
Perciformes,Nototheniidae,Patagonian rockcod,Patagonotothen,brevicauda,shagensis,Shag Rocks area,c,0.9175,"Shlibanov, 1989",0.3258,233.1,"Shlibanov, 1989",7,"Shlibanov, 1989",5.9
Salmoniformes,Salmonidae,lake whitefish,Coregonus,clupeaformis,na,"Shakespeare Island Lake, Canada",c,0.15,"Beverton & Holt, 1959",0.084,512,"*Hart, 1931",27,"Hart, 1931",5
Perciformes,Nemipteridae,butterfish,Pentapodus,vitta,na,"Shark Bay, Australia",f,0.91,"Mant et al., 2006",0.886,156.6,"Mant et al., 2006",8,"Mant et al., 2006",23.1
Perciformes,Sparidae,tarwhine,Rhabdosargus,sarba,na,"Shark Bay, Australia",c,0.3342,"*Hesp, A., unpublished data",0.51,302.84,"Hesp et al., 2004",14,"*Hesp, A., unpublished data",23.1
Perciformes,Nototheniidae,yellowbelly rockcod,Notothenia,neglecta,na,"Signy Island, South Orkney Islands",c,0.36,"Everson, 1970",0.11,396,"Everson, 1970",18,"Everson, 1970",17
Perciformes,Lutjanidae,dog snapper,Lutjanus,jocu,na,"Sirius, Ceara, and Bahia States, Brazil",c,0.134,"Rezende & Ferreira, 2004",0.11,772.2,"Rezende & Ferreira, 2004",25,"Rezende & Ferreira, 2004",27.5
Perciformes,Polyprionidae,hapuku,Polyprion,oxygeneios,na,south coast of Western Australia,c,0.12,"Wakefield et al., 2010",0.24,890,"Wakefield et al., 2010",52,"Wakefield et al., 2010",22.6
Perciformes,Labridae,western blue groper,Achoerodus,gouldii,na,south coast of Western Australia,c,0.086,"Coulson et al., 2009",0.1,777,"Coulson et al., 2009",70,"Coulson et al., 2009",18
Perciformes,Labridae,foxfish,Bodianus,frenchii,na,south coast of Western Australia,c,0.067,"*Cossington, S. & Potter, I., unpublished data",0.09,396,"Cossington et al., 2010",78,"Cossington et al., 2010",19.5
Perciformes,Channichthyidae,mackerel icefish,Champsocephalus,gunnari,na,South Georgia,c,0.56,"Frolkina & Dorovskikh, 1989",0.134,688,"Frolkina & Dorovskikh, 1989",8,"Frolkina & Dorovskikh, 1989",6
Myctophiformes,Myctophidae,Nichol's lanternfish,Gymnoscopelus,nicholsi,na,"South Georgia, South Shetlands",c,0.61,"Linkowski, 1985",0.44,151,"Linkowski, 1985",7,"Linkowski, 1985",7
Gadiformes,Merlucciidae,Panama hake,Merluccius,angustimanus,na,southeast Gulf of California,c,0.82,"Mathews, 1975",0.35,327,"Mathews, 1975",7,"Mathews, 1975",20
Perciformes,Scombridae,king mackerel,Scomberomorus,cavalla,na,southeastern US,c,0.46,"Johnson et al., 1983",0.29,1067,"Johnson et al., 1983",14,"Johnson et al., 1983",22.2
Perciformes,Sparidae,blacktail seabream,Diplodus,capensis,na,southern Angola,f,0.11,"Richardson, 2010",0.045,419.5,"Richardson, 2010",31,"Richardson, 2010",20.4
Perciformes,Carangidae,leerfish,Lichia,amia,na,southern Angola,c,0.41,"Potts et al., 2008",0.22,1137,"Potts et al., 2008",11,"Potts et al., 2008",24.73
Clupeiformes,Engraulidae,northern anchovy,Engraulis,mordax,na,Southern California,c,0.97,"Hanan, 1981",0.298682,165.52,"Spratt, 1975",7,"Spratt, 1975",15
Scorpaeniformes,Scorpaenidae,yelloweye rockfish,Sebastes,ruberrimus,na,Southern Southeast Outside management sections,c,0.0174,"O'Connell et al., 2002",0.0369,659.6,"O'Connell et al., 2002",121,"O'Connell et al., 2002",5.4
Perciformes,Centrarchidae,smallmouth bass,Micropterus,dolomieu,na,"Spencer Lake, Washington",c,0.52,"*Mueller et al., 2005",0.13,421.7,"Mueller et al., 2005",13,"Mueller et al., 2005",10.3
Perciformes,Centrarchidae,largemouth bass,Micropterus,salmoides,na,"Spencer Lake, Washington",c,0.45,"*Mueller et al., 2005",0.12,516.3,"Mueller et al., 2005",10,"Mueller et al., 2005",10.3
Salmoniformes,Salmonidae,brown trout,Salmo,trutta,na,"Spruce Creek, Pennsylvania",c,0.67,"Carline, 2006",,,,4,"Carline, 2006",9.4
Pleuronectiformes,Pleuronectidae,American plaice,Hippoglossoides,platessoides,na,"St Mary Bay, Newfoundland, Canada",f,0.18,"Pitt, 1973",0.07,600,"Pitt, 1967",32,"Pitt, 1973",15
Pleuronectiformes,Pleuronectidae,winter flounder,Pseudopleuronectes,americanus,na,"St Mary Bay, western Nova Scotia, Canada",c,0.3,"Dickie & McCracken, 1955",0.26,468.6,"Beverton & Holt, 1959",11,"Dickie & McCracken, 1955",5
Gadiformes,Macrouridae,ridge-scaled rattail,Macrourus,carinatus,na,Sub-Antartic,m,0.15,"Stevens et al., 2010",0.0694,764.6,"Stevens et al., 2010",42,"Stevens et al., 2010",6.5
Perciformes,Cichlidae,Nile tilapia,Oreochromis,niloticus,na,"Tabaru River, Yonaguni-jima Island, Japan",c,0.32,"Ishikawa et al., 2013",0.43,291.1,"Ishikawa et al., 2013",13,"Ishikawa et al., 2013",24
Carcharhiniformes,Sphyrnidae,bonnethead shark,Sphyrna,tiburo,na,"Tampa Bay, Florida",c,0.6615,"Cortés & Parsons, 1996",0.34,1150,"Parsons, 1993",7,"Cortés & Parsons, 1996",22.3
Perciformes,Cichlidae,Mayan cichlid,Cichlasoma,urophthalmum,na,"Taylor River, Florida",c,0.74,"Faunce et al., 2002",0.181,239.645,"Faunce et al., 2002",7,"Faunce et al., 2002",26
Perciformes,Sparidae,Carpenter seabream,Argyrozona,argyrozona,na,"Tsitsikamma & Agulhas Bank, South Africa",c,0.27,"Brouwer & Griffiths, 2005",0.08,623,"Brouwer & Griffiths, 2004",27,"Brouwer & Griffiths, 2004",21
Perciformes,Sparidae,,Chrysoblephus,cristiceps,na,"Tsitsikamma, South Africa",c,0.2094,"Buxton, 1993",0.081,654.7,"Buxton, 1993",23,"Buxton, 1993",17
Perciformes,Sparidae,,Chrysoblephus,laticeps,na,"Tsitsikamma, South Africa",c,0.2395,"Buxton, 1993",0.147,425,"Buxton, 1993",17,"Buxton, 1993",17
Cyprinodontiformes,Cyprinodontidae,White Sands pupfish,Cyprinodon,tularosa,na,"Tularosa Basin, New Mexico",c,1.96,"*Jester & Suminski, 1982",,,,5,"Jester & Suminski, 1982",20
Cypriniformes,Catostomidae,shortnose sucker,Chasmistes,brevirostris,na,"Upper Klamath Lake, Oregon",f,0.15,"Hewitt et al., 2012",0.237,464.32,"Terwilliger et al., 2010",24,"Terwilliger et al., 2010",13
Cypriniformes,Catostomidae,Lost River sucker,Deltistes,luxatus,na,"Upper Klamath Lake, Oregon",f,0.082,"Hewitt et al., 2012",0.13,700.6,"Terwilliger et al., 2010",57,"Terwilliger et al., 2010",13
Clupeiformes,Clupeidae,Pacific herring,Clupea,pallasii,pallasii,"Vancouver Island, British Columbia",c,0.56,"Beverton & Holt, 1959",0.48,270,"Beverton, 1963",11,"Beverton & Holt, 1959",10
Perciformes,Nemipteridae,Japanese threadfin bream,Nemipterus,japonicus,na,"Visakhapatnam, Bay of Bengal",c,0.52,"Krishnamoorthi, 1976",0.314,305.4,"Krishnamoorthi, 1971",4,"Krishnamoorthi, 1971",28
Atheriniformes,Atherinidae,sand smelt,Atherina,boyeri,na,"Vistonis estuarine system, Greece",c,1.29,"Koutrakis et al., 2004",0.35,116.97,"Koutrakis et al., 2004",4,"Koutrakis et al., 2004",17.5
Perciformes,Lutjanidae,Moses perch,Lutjanus,russelli,na,Western Australia,c,0.152,"Newman, 2002b",0.347,330.1,"Newman, 2002b",21,"Newman, 2002b",26.9
Perciforme,Cheilodactylidae,tarakihi,Nemadactylus,macropterus,na,west coast of the South Island and Chatham Islands,c,0.08,"Vooren, 1977",0.1878,446.2,"Annala et al., 1989",45,"Vooren, 1977",14
Perciformes,Gobiidae,sand goby,Pomatoschitus,minutus,na,Wadden Sea,c,3.3,"Fonds, 1973",0.92,89.3,"Fonds, 1973",2,"Fonds, 1973",10
Scorpaeniformes,Scorpaenidae,black rockfish,Sebastes,melanops,na,Washington and north Oregon coast,c,0.2,"Stewart, 1993",0.18,506.8,"Wallace & Tagart, 1994",42,"Wallace & Tagart, 1994",12.5
Clupeiformes,Clupeidae,Indian oil sardine,Sardinella,longiceps,na,west coast of India,c,0.67,"Banerji, 1973",0.528,206.6,"Banerji, 1973",3,"Banerji, 1973",27
Gadiformes,Merlucciidae,southern hake,Merluccius,australis,na,west coast of the South Island,f,0.21,"Dunn et al., 2000",0.202,1134,"Dunn et al., 2000",27,"Horn, 1997",10
Myctophiformes,Myctophidae,glacier lantern fish,Benthosema,glaciale,na,West Norwegian Fjords,c,0.91,"*Gjøsaeter, 1973",0.45,75,"Gjøsaeter, 1973",5,"Gjøsaeter, 1973",6.5
Perciformes,Nemipteridae,palefin threadfin bream,Nemipterus,thosaporni,na,"Western Kalimantan, South China Sea",c,1.73,"Pauly & Martosubroto, 1980",0.42,245,"Pauly & Martosubroto, 1980",5,"Pauly & Martosubroto, 1980",28
Perciformes,Scombridae,bigeye tuna,Thunnus,obesus,na,western tropical Pacific Ocean,c,0.48,"Hampton, 2000",0.238,1690,"Farley et al., 2006",16,"Farley et al., 2006",23
Perciformes,Scombridae,skipjack tuna,Katsuwonus,pelamis,na,western tropical Pacific Ocean,c,1.6,"Hampton, 2000",1.3,651,"Hampton, 2000",10,"Froese & Pauly, 2006",23
Perciformes,Scombridae,yellowfin tuna,Thunnus,albacares,na,western tropical Pacific Ocean,c,1.085,"Hampton, 2000",0.25,1664,"Hampton, 2000",7,"Lehodey & Leroy, 1999",23
Clupeiformes,Engraulidae,Japanese anchovy,Engraulis,japonicus,na,Yellow Sea and East China Sea,c,0.63,"Iversen et al., 1993",0.6,155,"Iversen et al., 1993",4,"Iversen et al., 1993",11.5
